ID,log2sum,n,type
ACAA2,-0.13956605,1,ns
ACADVL,0.477451805,1,ns
ACSL1,0.005996689,1,ns
ACSL3,0.043583209,1,ns
ACTB,-0.105167681,1,ns
ACTN4,0.727751302,2,up
ACTR1B,-0.184094166,1,ns
ACTR2,1.543991164,2,up
AK1,1.57527454,1,up
AKR1B1,0.140536957,1,ns
AKR1C2,0.036655991,1,ns
AKR1C3,0.400712528,1,ns
ALOX5,0.698199972,1,up
AMBP,0.274482191,1,ns
ANXA1,0.718075547,1,up
ANXA11,-0.259244364,1,ns
ANXA5,0.087021212,2,ns
ANXA6,0.275384383,2,ns
AP3B1,-0.014934121,1,ns
APOE,-0.571488188,1,down
APOH,0.164806954,1,ns
APOL2,0.482133431,1,ns
APOOL,0.831753063,1,up
ARF1,0.121708164,1,ns
ARHGDIA,-0.320336775,1,ns
ARL8B,-0.229816051,1,ns
ARPC5L,0.511124192,1,up
ASAP2,-0.017004441,1,ns
ASPN,0.884127824,1,up
ASS1,0.040706118,1,ns
ATP2A2,-0.054244367,1,ns
ATP5F1A,0.472539886,1,ns
ATP5PD,0.972146923,1,up
ATP6V1D,0.7656628,1,up
BCAT1,0.125267753,1,ns
BGN,1.53138123,2,up
C3,-0.072382251,1,ns
C4A,0.058319324,1,ns
C7,0.334094897,1,ns
CACNB1,0.428195696,1,ns
CAND1,1.510491181,1,up
CAPG,-0.980359445,1,down
CAPN2,0.327958544,1,ns
CBR3,0.137357364,1,ns
CCDC154,0.054753499,1,ns
CCT4,0.141928834,1,ns
CCT5,-0.031620978,1,ns
CD163,-0.548609332,1,down
CD44,0.516776835,1,up
CFH,0.195855652,1,ns
CFL1,0.327484432,1,ns
CKM,0.391324549,1,ns
CLIC1,-0.678195172,1,down
CLIC4,-0.217448327,1,ns
CLTC,1.661253819,2,up
CLU,-0.514527046,1,down
CNN1,-0.004257519,1,ns
COL14A1,0.688986797,5,up
COL1A1,-0.010570512,2,ns
COL6A1,1.611637328,3,up
COL6A2,0.852223502,3,up
COL6A3,0.131270267,6,ns
COLGALT1,0.198633221,1,ns
COMP,0.867433304,2,up
COPG1,-0.059765458,1,ns
COTL1,-0.856106011,1,down
COX6C,0.530895241,1,up
COX7B,0.322820015,1,ns
CP,0.58152583,1,up
CRELD1,0.163771101,1,ns
CRTAC1,0.281460299,1,ns
CTNNA1,-0.076158576,2,ns
CTSG,0.300234168,1,ns
CYB5R1,0.375949235,1,ns
CYB5R3,-0.315449237,1,ns
CYFIP1,-0.294222893,1,ns
DDB1,-0.210716392,1,ns
DDX19A,0.319309345,1,ns
DDX5,-0.153504447,1,ns
DEFA3,0.696537628,1,up
DES,0.073945808,1,ns
DISC1,0.661334391,1,up
DLST,0.019759669,1,ns
DPP4,0.728689865,1,up
DPT,-0.137309419,1,ns
DPYSL2,0.340717699,2,ns
DPYSL3,0.326487645,1,ns
DYNC1H1,0.493524494,2,ns
EEF1A1P5,0.763234769,1,up
EEF1A2,0.830534153,1,up
EEF1D,-0.175824821,1,ns
EEF1G,0.906134912,1,up
EHD4,-0.38169974,1,ns
EIF3A,0.405013554,2,ns
EIF3C,0.33290849,1,ns
ENO1,0.569944302,1,up
ERAP1,0.085043997,1,ns
ESYT1,0.531004925,1,up
F13A1,0.671021643,1,up
F2,-0.103249541,1,ns
FABP4,0.371666449,2,ns
FABP5,2.679196971,1,up
FBN1,0.039297621,4,ns
FCGRT,-0.146295814,1,ns
FERMT2,0.010472587,1,ns
FGA,2.734051632,3,up
FGB,0.122720663,2,ns
FH,0.050076104,1,ns
FKBP4,0.279881505,1,ns
FLNA,-0.49681581,1,ns
FLNB,0.315000117,1,ns
FN1,1.577001497,2,up
GARS1,-0.475710241,1,ns
GLG1,0.275214522,3,ns
GLS,0.926662845,1,up
GPI,0.455289327,2,ns
GPX8,0.199747011,1,ns
H1-4,0.977366751,1,up
H1F5,0.726205218,1,up
H3C15,-0.902440585,2,down
H4C1,0.66152109,1,up
HACD3,0.016439501,1,ns
HGS,-0.216291312,1,ns
HK1,0.646962854,1,up
HLA-A,0.354402461,1,ns
HLA-B,0.717521049,1,up
HLA-DQA1,-0.080894246,1,ns
HLA-DRA,0.237989193,2,ns
HMGB1,-0.595178968,2,down
HNRNPA2B1,-0.692853752,1,down
HNRNPC,1.474092409,2,up
HNRNPL,-0.059568391,1,ns
HNRNPM,0.508921817,1,up
HP1BP3,0.224979786,1,ns
HPX,0.995509512,1,up
HSP90B1,-0.285108073,1,ns
HSPA9,0.810337887,1,up
HSPD1,-0.169485557,1,ns
ICAM1,-1.06220172,1,down
IDH2,-0.111530322,1,ns
IGHV2-26,0.434269712,1,ns
IGHV3-15,0.19352491,1,ns
IGHV3-74,-0.178697938,1,ns
IQGAP1,0.774825889,3,up
ITGB2,0.274008624,1,ns
ITIH1,0.545588595,2,up
ITIH4,0.319075606,1,ns
KDM6B,-0.847536686,1,down
KHDRBS1,-0.928981323,1,down
KIF5B,0.030136363,1,ns
LMAN1,2.215124376,1,up
LMAN2,0.291524389,1,ns
LMCD1,-0.068730223,1,ns
LMNA,1.652797678,8,up
LONP1,0.048238322,1,ns
LPCAT1,0.488486934,1,ns
LRP1,0.141795171,3,ns
LTA4H,0.422126659,1,ns
LUM,-0.090820819,1,ns
MAGEB10,-2.321550277,1,down
MAMDC2,0.231051043,1,ns
MB,-0.06203627,1,ns
MESD,1.242878806,1,up
MFAP2,0.168272764,1,ns
MPC1,0.341730247,1,ns
MRC2,-0.447471948,1,ns
MVP,0.395218218,1,ns
MYBPC1,-0.086380993,1,ns
MYH11,0.261671209,3,ns
MYH2,-0.449758857,2,ns
MYH7,1.878717838,6,up
MYH9,0.428072951,2,ns
MYL2,1.312964837,1,up
MYOM1,0.362320494,1,ns
NDUFS7,-0.342720419,1,ns
NIBAN2,0.27111195,1,ns
NONO,-0.524920554,1,down
NPM1,1.641086498,1,up
NPTN,0.215895433,1,ns
OBSCN,0.425915855,1,ns
OGDH,-0.028092136,1,ns
OTULINL,0.167492074,1,ns
PABPC1,0.50055712,1,up
PADI2,0.925077973,4,up
PAICS,0.434236507,1,ns
PANX3,0.005760093,1,ns
PBK,0.135918656,1,ns
PCK2,-0.065470684,1,ns
PDCD6IP,-0.508099493,1,down
PDIA4,-0.349331702,1,ns
PDIA6,-0.168486234,1,ns
PFKL,0.482182707,2,ns
PGD,0.090430263,2,ns
PHB2,0.425139663,1,ns
PHPT1,-0.398648769,1,ns
PICALM,0.105167957,1,ns
PLEC,-0.680406972,4,down
PLEKHO2,-0.167530191,1,ns
PLG,1.024628854,1,up
PPIA,-0.019367667,1,ns
PRDX2,-0.32914106,1,ns
PRDX3,0.016206944,1,ns
PRELP,-0.292599445,2,ns
PRKDC,1.176837472,1,up
PRXL2A,0.213465141,1,ns
PSMA7,0.111001533,2,ns
PSMB3,0.766120463,1,up
PSMC4,0.311200317,1,ns
PSMD11,-0.044813151,1,ns
PSMD6,-0.392570525,1,ns
PTBP1,-0.114113456,1,ns
PTGR1,-0.319598574,1,ns
PYGB,-0.171775937,1,ns
RACK1,-0.023056001,2,ns
RALA,-0.102823328,1,ns
RAN,-0.251308281,1,ns
RARS1,0.142762428,1,ns
RP2,-0.037276098,1,ns
RPL15,0.029087777,1,ns
RPL18A,-0.237887895,1,ns
RPL22,0.245947416,1,ns
RPL3,-0.047332264,1,ns
RPL34,0.6924108,1,up
RPL35A,0.490045845,2,ns
RPL36,0.66994562,1,up
RPL7,1.118465711,1,up
RPN1,-0.115992395,3,ns
RPN2,0.627286185,1,up
RPS14,0.820679627,2,up
RPS20,0.012221708,1,ns
RPS5,0.106328167,1,ns
RPS6,-0.03604797,1,ns
RPS9,1.136652836,3,up
S100A10,0.027859949,1,ns
SAA4,0.280142888,1,ns
SACM1L,0.479683787,1,ns
SCARA5,-0.241418168,1,ns
SCARB2,-0.126544882,1,ns
SCCPDH,0.933429246,1,up
SCYL1,-0.010006855,1,ns
SEC11C,0.510001209,1,up
SEC13,0.301537247,1,ns
SEC61A1,-0.018264525,2,ns
SELENOF,1.166024439,1,up
SERP1,0.33612004,1,ns
SERPINH1,-0.401731745,1,ns
SH3BGRL3,-0.223449566,1,ns
SHMT1,0.951878012,1,up
SIGLEC1,0.207416269,1,ns
SLC25A3,0.00154988,1,ns
SLC25A5,0.892673696,1,up
SLC25A6,0.513045813,1,up
SLC35A1,-0.360180794,1,ns
SLC35A4,0.536618396,1,up
SND1,0.128303867,1,ns
SNRNP200,0.071124719,1,ns
SNU13,-0.189695618,1,ns
SNX2,0.333089252,1,ns
SOD2,0.2787898,1,ns
SORD,0.788433028,1,up
SPTAN1,0.279849888,1,ns
SPTBN1,0.73255345,5,up
SSR3,-0.089958149,2,ns
STEAP4,0.271407497,1,ns
STIP1,0.760819489,1,up
STT3A,0.395875312,1,ns
TARS1,-0.497110376,1,ns
TCERG1,0.965605015,1,up
TF,0.087497413,1,ns
TGFBI,0.627693464,1,up
TGM2,0.981548941,2,up
THBS4,0.139694437,1,ns
THYN1,0.535372766,1,up
TLN1,0.481935719,3,ns
TM9SF3,-0.213594809,1,ns
TMED2,0.434808773,1,ns
TMED5,-0.047492121,1,ns
TMED9,-1.029617607,1,down
TMT1A,0.25346339,1,ns
TNC,0.382215962,2,ns
TNNI1,-0.305954034,1,ns
TNNT1,0.786258808,1,up
TNXB,0.096528167,2,ns
TOM1,-0.062412959,1,ns
TOMM6,0.062393947,1,ns
TPI1,0.384672205,1,ns
TPM1,0.458001716,1,ns
TPM3,0.064232239,3,ns
TPM4,0.09133264,2,ns
TSPAN3,0.902848215,1,up
TTN,2.749814471,15,up
TUBB,0.14677295,1,ns
TYROBP,0.751149196,1,up
UBE2M,-0.64602898,1,down
UCHL1,0.608624429,1,up
UGDH,0.26311007,1,ns
UNC93B1,-0.713480791,1,down
UQCRC2,0.693604115,1,up
VAMP3,0.008575451,1,ns
VAMP5,-0.157615365,1,ns
VCAN,-0.166327513,1,ns
VCL,0.63280478,2,up
VDAC1,-0.253072009,1,ns
VDAC2,-0.614927005,1,down
VIM,1.188541448,6,up
VSIG4,-0.10736262,1,ns
YWHAG,0.542096776,2,up
